File_Code,Title,Authors,Year,Journal,DOI,OA_URL,MD5_Hash
OA_KW6_021,Evaluating Latent Space Robustness and Uncertainty of EEG-ML Models under Realistic Distribution Shifts,"Neeraj Wagh, Jionghao Wei, Samarth Rawal et al.",2022,arXiv Preprint,10.48550/arXiv.2209.11233v2,https://arxiv.org/pdf/2209.11233v2.pdf,c64af6f008013994b4720b49a93abc74
OA_KW6_022,Large-scale Training of Foundation Models for Wearable Biosignals,"Salar Abbaspourazad, Oussama Elachqar, Andrew C. Miller et al.",2023,arXiv Preprint,10.48550/arXiv.2312.05409v2,https://arxiv.org/pdf/2312.05409v2.pdf,b386b01839fff9001e832ad0f3ab53f9
OA_KW6_023,GEFM: Graph-Enhanced EEG Foundation Model,"Limin Wang, Toyotaro Suzumura, Hiroki Kanezashi",2024,arXiv Preprint,10.48550/arXiv.2411.19507v3,https://arxiv.org/pdf/2411.19507v3.pdf,9611e7b30127587740f4d8bf218690ca
OA_KW6_024,NeuroRVQ: Multi-Scale Biosignal Tokenization for Generative Foundation Models,"Konstantinos Barmpas, Na Lee, Dimitrios Chalatsis et al.",2025,arXiv Preprint,10.48550/arXiv.2510.13068v4,https://arxiv.org/pdf/2510.13068v4.pdf,ba4004d241d273f3da96f1965f3b881a
OA_KW6_025,CLEF: EEG Foundation Model for Learning Clinical Semantics,"Peng Cao, Ali Mirzazadeh, Jong Woo Lee et al.",2026,arXiv Preprint,10.48550/arXiv.2605.10817v1,https://arxiv.org/pdf/2605.10817v1.pdf,67ed193b8571e6ad20388cf2a4004150
OA_KW6_026,Understanding data analysis aspects of TMS-EEG in clinical study: a mini review and a case study with open dataset,Hua Cheng,2024,arXiv Preprint,10.48550/arXiv.2403.09707v1,https://arxiv.org/pdf/2403.09707v1.pdf,91452ad6241e3100076b2dc381181c1d
OA_KW6_027,EHR-RAGp: Retrieval-Augmented Prototype-Guided Foundation Model for Electronic Health Records,"Saeed Shurrab, Mariam Al-Omari, Dana El Samad et al.",2026,arXiv Preprint,10.48550/arXiv.2605.12335v1,https://arxiv.org/pdf/2605.12335v1.pdf,afce86f085f2977d8461f8a595e5fd5b
OA_KW6_028,EEG-PRISM: Physiologically-Grounded Interpretability of Predictions by EEG Foundation Models,"Deeksha M Shama, Punnisa Amornsirikul, Archana Venkataraman",2026,arXiv Preprint,10.48550/arXiv.2608.13676v1,https://arxiv.org/pdf/2608.13676v1.pdf,8604c999f06cc5640c1a2e47164f7c54
OA_KW6_029,CBraMod: A Criss-Cross Brain Foundation Model for EEG Decoding,"Jiquan Wang, Sha Zhao, Zhiling Luo et al.",2024,arXiv Preprint,10.48550/arXiv.2412.07236v6,https://arxiv.org/pdf/2412.07236v6.pdf,03f37f9f2023fdacad651f165c52c8cf
OA_KW6_030,EEG-JEPA: Structured Latent Prediction for EEG Foundation Models,"Jinhao Li, Zhiyuan Ma, Xueqiao Han et al.",2026,arXiv Preprint,10.48550/arXiv.2608.00114v1,https://arxiv.org/pdf/2608.00114v1.pdf,5bda0a5e0b8339447bfb6b19bbe3cb93
