paper_code,title,authors,year,journal,doi,file_name,md5_hash
OA_KW6_070,S-CEReBrO: Breaking the Memory Barrier in Continuous EEG Monitoring,Glenn Anta Bucagu; Thorir Mar Ingolfsson; Yawei Li; Luca Benini,2026,arXiv Preprints (Foundation Models & SSL Biosignals),10.48550/arXiv.2607.27913v3,OA_KW6_070.pdf,07e156cd0b74094427bdf1960742e84e
OA_KW6_071,ZUNA1.1: A more flexible EEG foundation model for Denoising and Super-resolution,Christopher Warner; Jonas Mago; JR Huml; Beren Millidge,2026,arXiv Preprints (Foundation Models & SSL Biosignals),10.48550/arXiv.2607.27308v1,OA_KW6_071.pdf,8d57031324e14c8d0888c370963d8781
OA_KW6_072,Interpretable EEG biomarkers with bag-of-waves: Spatial and temporal waveform dictionaries for low-data regimes,Athanasios Papastathopoulos-Katsaros; Steven T. Lee; Lin Yao; Ajay Thomas,2026,arXiv Preprints (Foundation Models & SSL Biosignals),10.48550/arXiv.2607.22508v1,OA_KW6_072.pdf,22b4170a40878ba0fb5bdd03843fcc9b
OA_KW6_073,Universal BCI Personalization: One API for Frozen EEG Trunks and Foundation Models,Sergey Musienko,2026,arXiv Preprints (Foundation Models & SSL Biosignals),10.48550/arXiv.2607.22397v1,OA_KW6_073.pdf,424807713f2d15101d63a7f8bc454cfb
OA_KW6_074,Benchmarking Positional Encoding Strategies for Transformer-Based EEG Foundation Models,Ayse Betul Yuce; Sebastian Stober,2026,arXiv Preprints (Foundation Models & SSL Biosignals),10.48550/arXiv.2605.29754v1,OA_KW6_074.pdf,8bed61f0958a0a3650901098ceca53e6
OA_KW6_075,Neonatal Hypoxic-ischaemic Encephalopathy Classification from the EEG and HRV Signals Using a Conformer based Masked Autoencoder,Shuwen Yu; William P Marnane; Geraldine B. Boylan; Gordon Lightbody,2026,arXiv Preprints (Foundation Models & SSL Biosignals),10.48550/arXiv.2607.23554v1,OA_KW6_075.pdf,8659dbf39eda4991747fa0d21feed81f
OA_KW6_076,Uncovering Trajectory and Topological Signatures in Multimodal Pediatric Sleep Embeddings,Scott Ye; Harlin Lee,2026,arXiv Preprints (Foundation Models & SSL Biosignals),10.48550/arXiv.2605.14156v1,OA_KW6_076.pdf,338367b5907903945ca9d7e1cd455dbe
OA_KW6_077,Learning Fingerprints for Medical Time Series with Redundancy-Constrained Information Maximization,Huayu Li; ZhengXiao He; Xiwen Chen; Jingjing Wang,2026,arXiv Preprints (Foundation Models & SSL Biosignals),10.48550/arXiv.2605.00130v1,OA_KW6_077.pdf,1c1d9bdc69ba19ac5a1f508a2056c937
OA_KW6_078,Optimizing EEG Graph Structure for Seizure Detection: An Information Bottleneck and Self-Supervised Learning Approach,Lincan Li; Rikuto Kotoge; Xihao Piao; Zheng Chen,2026,arXiv Preprints (Foundation Models & SSL Biosignals),10.48550/arXiv.2604.01595v1,OA_KW6_078.pdf,203432350d881f55819b0df6ac0701ef
OA_KW6_079,PRISM: Exploring Heterogeneous Pretrained EEG Foundation Model Transfer to Clinical Differential Diagnosis,Jeet Bandhu Lahiri; Parshva Runwal; Arvasu Kulkarni; Mahir Jain,2026,arXiv Preprints (Foundation Models & SSL Biosignals),10.48550/arXiv.2603.02268v1,OA_KW6_079.pdf,2a7b4e471a627b84c2b6d9eb2bb4d7e0
OA_KW6_080,EEG-based Visual Retrieval and Reconstruction: From Neurally Visible Optimal Layer to Hierarchical Diffusion Generation,Minyi Wang; Zhenqin Wu; Rihui Li,2026,arXiv Preprints (Foundation Models & SSL Biosignals),10.48550/arXiv.2609.02582v1,OA_KW6_080.pdf,075bd02797e80d74bbdf10bec00194c5
OA_KW6_081,CoCoT-EEG: Contrastive-Pretrained Multiscale Convolutional Transformer for EEG Decoding,Gabriel Mahuas; Victoria Shevchenko; Ugo Tanielian; Yassir Bendou,2026,arXiv Preprints (Foundation Models & SSL Biosignals),10.48550/arXiv.2607.09543v1,OA_KW6_081.pdf,425f95e7e0b1003399f3f29c9de3c1f5
OA_KW6_082,CAMEL-CLIP: Channel-aware Multimodal Electroencephalography-text Alignment for Generalizable Brain Foundation Models,Hanseul Choi; Jinyeong Park; Seongwon Jin; Sungho Park,2026,arXiv Preprints (Foundation Models & SSL Biosignals),10.48550/arXiv.2603.13272v1,OA_KW6_082.pdf,2d6b7a3209760f9c3aa5beee74b631aa
OA_KW6_083,Device Passport: Enabling Spatio-Temporal Pretrained Models to Generalize Across Input Layouts,Geeling Chau; Ran Liu; Juri Minxha; Wenhui Cui,2026,arXiv Preprints (Foundation Models & SSL Biosignals),10.48550/arXiv.2607.00249v1,OA_KW6_083.pdf,1526dd5b6465b725ca103b3d3f63d2fa
OA_KW6_084,SignalMC-MED: A Multimodal Benchmark for Evaluating Biosignal Foundation Models on Single-Lead ECG and PPG,Fredrik K. Gustafsson; Xiao Gu; Mattia Carletti; Patitapaban Palo,2026,arXiv Preprints (Foundation Models & SSL Biosignals),10.48550/arXiv.2603.09940v1,OA_KW6_084.pdf,e4f418db03c8003e0672226e10936968
OA_KW6_085,DLink: Distilling Layer-wise and Dominant Knowledge from EEG Foundation Models,Jingyuan Wang; Zhihao Jia; Chenyu Liu; Xinliang Zhou,2026,arXiv Preprints (Foundation Models & SSL Biosignals),10.48550/arXiv.2604.15016v2,OA_KW6_085.pdf,c4bb237d9a2cd285d61a272392ae3ec9
OA_KW6_086,Brain4FMs: A Benchmark of Foundation Models for Electrical Brain Signal,Fanqi Shen; Enhong Yang; Jiahe Li; Junru Hong,2026,arXiv Preprints (Foundation Models & SSL Biosignals),10.48550/arXiv.2602.11558v2,OA_KW6_086.pdf,b3fd9f0cb707b152c98bce86d7afe556
OA_KW6_087,Brain-Aligned Multi-Stream Video Transformers with Sparse Self-Selection,Amir Hosein Fadaei; Mahyar Maleki; Mohammad-Reza A. Dehaqani,2026,arXiv Preprints (Foundation Models & SSL Biosignals),10.48550/arXiv.2607.17625v1,OA_KW6_087.pdf,894444d2e01b414478e66e2346984bc8
OA_KW6_088,STST-JEPA: Shallow-Target Spatio-Temporal Joint Embedding Prediction Architecture For EEG Self-Supervised Learning,Roy Segal; Yoni Svechinsky; Tomer Fekete,2026,arXiv Preprints (Foundation Models & SSL Biosignals),10.48550/arXiv.2607.06629v2,OA_KW6_088.pdf,11644ac3eb2417e49dbe2c3aac4bf0e7
OA_KW6_089,SPOTR: Spatio-temporal Pooling One-Token Reconstruction for Universal Physiological Signal Self-supervised Learning,Yiyu Gui; Mingzhi Chen; Yuesheng Zhu; Guibo Luo,2026,arXiv Preprints (Foundation Models & SSL Biosignals),10.48550/arXiv.2606.21973v1,OA_KW6_089.pdf,07dca8957f9cd1ce4e3ac55dbe259066
OA_KW6_090,B[FM]$^2$: Brain Foundation Model via Flow Matching with SplitUNet,Jaedong Hwang; Kathleen Zhang; Wei Dai; Konstantinos Kontras,2026,arXiv Preprints (Foundation Models & SSL Biosignals),10.48550/arXiv.2606.20812v1,OA_KW6_090.pdf,ab5d34df6142a1044433a1870e6b3761
OA_KW6_091,Next-Token Prediction Learns Generalisable Representations of Sleep Physiology,Jonathan F. Carter; Lionel Tarassenko,2026,arXiv Preprints (Foundation Models & SSL Biosignals),10.48550/arXiv.2606.09605v1,OA_KW6_091.pdf,7e0b5f4999879810a65524881d7b0825
OA_KW6_092,BandVQ: Band-Wise Vector-Quantized EEG Foundation Model,Jamiyan Sukhbaatar; Satoshi Imamura; Toshihisa Tanaka,2026,arXiv Preprints (Foundation Models & SSL Biosignals),10.48550/arXiv.2605.24921v1,OA_KW6_092.pdf,a3451221ee54e4763e0f6d25e9a5c6a6
OA_KW6_093,MedMamba: Recasting Mamba for Medical Time Series Classification,ZhengXiao He; Huayu Li; Xiwen Chen; Janet M Roveda,2026,arXiv Preprints (Foundation Models & SSL Biosignals),10.48550/arXiv.2605.05214v1,OA_KW6_093.pdf,4a70d966f48bd22b61c4b58045f0b01d
OA_KW6_094,Epileptic Seizure Prediction Using Patient-Adaptive Transformer Networks,Mohamed Mahdi; Asma Baghdadi,2026,arXiv Preprints (Foundation Models & SSL Biosignals),10.48550/arXiv.2603.26821v1,OA_KW6_094.pdf,407243b0236b86475737a6e2b2e25f46
OA_KW6_095,Autoregressive Visual Decoding from EEG Signals,Sicheng Dai; Hongwang Xiao; Shan Yu; Qiwei Ye,2026,arXiv Preprints (Foundation Models & SSL Biosignals),10.48550/arXiv.2602.22555v2,OA_KW6_095.pdf,dd452ee7036267091892d5ef51c61f49
OA_KW6_096,Learning from Brain Topography: A Hierarchical Local-Global Graph-Transformer Network for EEG Emotion Recognition,Yijin Zhou; Fu Li; Yi Niu; Boxun Fu,2026,arXiv Preprints (Foundation Models & SSL Biosignals),10.48550/arXiv.2601.10525v1,OA_KW6_096.pdf,41244451320f633523988e3fc2739ce3
OA_KW6_097,"Benchmarking ERP Analysis: Manual Features, Deep Learning, and Foundation Models",Yihe Wang; Zhiqiao Kang; Bohan Chen; Yu Zhang,2026,arXiv Preprints (Foundation Models & SSL Biosignals),10.1109/tbme.2026.3686229,OA_KW6_097.pdf,9dda8b6c5c7a4b43f95ac08c700864ee
OA_KW6_098,TRACE: Tractable Routing Autoencoder for Clinical ECG,Shunbo Jia; Runze Ma; Haonan Lyu; Haijin Zhang,2026,arXiv Preprints (Foundation Models & SSL Biosignals),10.48550/arXiv.2609.23460v1,OA_KW6_098.pdf,bd58c38696da3c19f79facac57a7a69e
OA_KW6_099,SOTER: A Generative Time-Series Foundation Model for Wearable Human Physiological Signals,Fangke Chen; Sirry Chen; Wei Chen; Zhongyu Wei,2026,arXiv Preprints (Foundation Models & SSL Biosignals),10.48550/arXiv.2609.16804v1,OA_KW6_099.pdf,f8e92ec68506df0082e4db99ae0b672f
OA_KW6_100,LatentVerse: A Framework for Understanding Shared and Modality-Specific Information in Multimodal Latent Representations,Majd Alafrange; Samuel Friedman; John Kitonyo; Sana Tonekaboni,2026,arXiv Preprints (Foundation Models & SSL Biosignals),10.48550/arXiv.2609.12364v1,OA_KW6_100.pdf,2006245a8cdeb5bfe8efbe10df6bbced
